Id, MajorId, SubjectId, IsRequired, CreatedAt                   , UpdatedAt
 1,       1,        1, True      , 2026-01-01T00:00:00.0000000Z, 2026-01-01T00:00:00.0000000Z
 2,       1,        2, True      , 2026-01-01T00:00:00.0000000Z, 2026-01-01T00:00:00.0000000Z
 3,       1,        3, True      , 2026-01-01T00:00:00.0000000Z, 2026-01-01T00:00:00.0000000Z
 4,       1,        4, True      , 2026-01-01T00:00:00.0000000Z, 2026-01-01T00:00:00.0000000Z
 5,       1,        5, False     , 2026-01-01T00:00:00.0000000Z, 2026-01-01T00:00:00.0000000Z
 6,       1,        6, False     , 2026-01-01T00:00:00.0000000Z, 2026-01-01T00:00:00.0000000Z
 7,       2,        1, True      , 2026-01-01T00:00:00.0000000Z, 2026-01-01T00:00:00.0000000Z
 8,       2,        3, True      , 2026-01-01T00:00:00.0000000Z, 2026-01-01T00:00:00.0000000Z
 9,       2,        4, True      , 2026-01-01T00:00:00.0000000Z, 2026-01-01T00:00:00.0000000Z
10,       2,        5, True      , 2026-01-01T00:00:00.0000000Z, 2026-01-01T00:00:00.0000000Z
11,       2,        6, True      , 2026-01-01T00:00:00.0000000Z, 2026-01-01T00:00:00.0000000Z
12,       3,        1, True      , 2026-01-01T00:00:00.0000000Z, 2026-01-01T00:00:00.0000000Z
13,       3,        2, True      , 2026-01-01T00:00:00.0000000Z, 2026-01-01T00:00:00.0000000Z
14,       3,        3, True      , 2026-01-01T00:00:00.0000000Z, 2026-01-01T00:00:00.0000000Z
15,       3,        4, False     , 2026-01-01T00:00:00.0000000Z, 2026-01-01T00:00:00.0000000Z
16,       3,        5, False     , 2026-01-01T00:00:00.0000000Z, 2026-01-01T00:00:00.0000000Z
