Id,ClassId,StudentId,EnrolledAt,IsActive
1,1,1,2026-09-01T00:00:00.0000000Z,True
2,3,1,2026-09-01T00:00:00.0000000Z,True
3,4,1,2027-02-01T00:00:00.0000000Z,True
4,5,1,2027-02-01T00:00:00.0000000Z,True
5,3,10,2026-07-31T09:30:21.8617946Z,True
6,2,10,2026-09-01T00:00:00.0000000Z,True
7,4,10,2027-02-01T00:00:00.0000000Z,True
8,1,11,2026-09-01T00:00:00.0000000Z,True
9,5,11,2027-02-01T00:00:00.0000000Z,True
10,6,11,2027-02-01T00:00:00.0000000Z,True
11,2, 1,2027-06-01T00:00:00.0000000Z,True
12,6,10,2027-06-01T00:00:00.0000000Z,True
